reviewer,rating,content
떵혁마미,만족도 : 100%,무선청소기 사용하다보니 유선청소기의 흡입력이 간절하여 구매했어요.역시 유선청소기의 흡입력이 짱이네요.잘쓸게요.작동시 소리가 전에 쓰던거보다 크긴하네요~
jang*******,만족도 : 100%,무겁고 오래된 청소기 사용하다가 코드제로 사용해보니 가볍고 흡입력이 좋아 청소시간이 줄어서 만족스럽습니다. 특히 한번에 머리카락 잘 빨아들여서 좋아요
lj42*,만족도 : 100%,사용감이 아주 좋아요..잘쓰겠습니다.
ijoe**,만족도 : 100%,먼지봉투용량이 큰 제품 답게 몸체도 큽니다. 기본도 뒤에 물넣으면 청소빨아들이면서 간단하게 물청소도 같이되는게 제일 맘에 드네요. 먼지통일일이 안비워도되고 비울때마다 먼지난리거나 자잘한찌꺼기들 흩어지는것도 은근신경쓰였는데 그런문제를 한번에 해결되니 좋아요 먼지봉투용량도 커서 자주 안비워도 되고 흡입력도 맘에 들어요
밤고양이,만족도 : 100%,오래된 다이슨 사용하다 LG청소기로 바꿔봤어요. 표준모드로도 흡입력 우수하고 소음도 이정도면 만족합니다.
giha**,만족도 : 100%,"샤오미 한 1년 잘사용하다 어느날 집을 찾지 못하고, 중국내수용이라 수리도 안되고 자가수리해도 부품수급이 안되고... 열받아서 확 찔렸네요 의자 구석구석 잘들어가고 잘나오네요 중국것 하고 넘 차이가 나네요 사오미는 걸레사이에 벌어진 틈을 항상 남기는데 삼성은 벌어진 걸레를 한번 더 닦아주는 것이 엄청난 차이라 여겨집니다 언젠가는 고장은 나게됩니다 이때 수리여부 즉. 즉각 사용할 수 있는냐하는건데, 삼성을 믿네요 돈 날리지 마시고, 결국 AS되는 제품을 사야합니다 잘 쓸게요"
sy52**,만족도 : 100%,"기존에 중국제 저렴한 청소기를 몇년 썼는데, 바닥에 붙은 머리카락같은 이물질은 한번에 잘 흡입을 못해서 불편했습니다. 조금 비싸더라도 성능이 좋은 청소기로 바꾸려고 알아보다가 이번에 삼성 제품이 조건이 괜찮게 나와서 구매해봤네요. 우선, 조립부터 설치까지 굉장히 쉽고 편했습니다. 받자마자 전원을 켜보니 배터리가 30%정도 충전이 돼있어서 바로 테스트 삼아 돌려봤네요. 확실히 예전 청소기에 비해서 흡입력이 좋습니다. 매트에 붙어있는 머리카락 같은것도 기존 청소기라면 여러번 왔다갔다해야 겨우 떨어질건데, 한번에 싹 흡입하네요. 충전부터 먼지 비우기 기능도 구형 청소기 생각하면 완전 신세계다 싶구요. 돈을 좀 주더라도 생활 가전은 최신 버전이 좋긴 좋구나~싶습니다."
hanj******,만족도 : 100%,원래 물걸레 기능없는 비스포크 청소기 사용하다가 아기가 생겨서 걸레질 할 일이 많아 바꿨는데 훨씬 가볍고 걸레질도 잘됩니다
비지니노,만족도 : 100%,생각보다 성능이 좋습니다.아직 물걸레 는 사용안해봤지만 청소기 상태는 다이슨과 비교해도 손색없을정도입니다. 핸들링하기 쉽고 3년만 잘 사용해도 좋을것 같습니다
니아루,만족도 : 100%,지인의 추천으로 알게됬는데 가장 마음에들었던건 자동비워주는기능과 높은배터리용량 그리고 스팀물걸레기능 그리고 다양한소품들을줘서 구매하게됬습니다. 배송도 빠르고 써보니 더 마음에듭니다~
대한민국대표,만족도 : 100%,"좋은 상품 착한 가격에 잘샀습니다 배송도 괜찮고, 상자도 터진 것 없이 잘 도착했습니다. 청소기 성능도 기존 사용하던 청소기 대비 흡입력도 좋고 핸들링도 부드러워요 밧데리도 오래가서 더 좋네요"
마른치와와,만족도 : 100%,집에 캐치웰 청소기만 로봇청소기1대 무선청소기2대를 쓰는데 성능 및 가성비 그리고 소모품 등 손쉽게 구입할 수 있어서 항상 믿고 씁니다. 이번에 할머니댁에 보내 드리려 오랜만에 하나 더 구입했는데 이전 것보다 좀더 업그레이드 되어 led화면이 직관적으로 나오고 터치도 되어 더욱 좋습니다. 또한 행사가로 저렴하게 구입할 수 있어 더욱 좋았습니다. 항상 믿고 쓰는 캐치웰 굿 :-)
jij7***,만족도 : 100%,"구매후 배송 가능일을 확인 했네요. ㅠㅠ 주문후 2주 이상 소요되어서 그 점이 아쉽지만 성능은 좋아 보입니다. 조립하는데 30분 정도 걸렸지만, 구성품도 빠짐없이 배송되었구요. 거치대도 있어서 만족 합니다. 거치대는 조립 설명이 없어서 시간이 더 걸렸지만 만족합니다. 무게감은 조금 있구요. 흡인력은 좋네요. 구성품과 가성비등 좋네요."
lapa*****,만족도 : 100%,배송도빠르고 깨끗하게왔네요 기대한것 이상이구요 모양도 넘 예쁩니다 아내가 써보고 맘에 든다니 기분 좋네요
han6***,만족도 : 100%,빠른 배송 감사합니다 박스 개봉해 조립하는데 1~2분소요 간편해서 넘 좋았구요! 사용해보니 흡입력도 좋아서 청소가 깨끗하게 되고 조용한 편이라 맘에 들어요 추가로 물걸레 청소기가 포함되어 있어서 가성비가 넘 좋아요 좋은 청소기 많이 파세요~~~^^
떵혁마미,만족도 : 100%,무선청소기 사용하다보니 유선청소기의 흡입력이 간절하여 구매했어요.역시 유선청소기의 흡입력이 짱이네요.잘쓸게요.작동시 소리가 전에 쓰던거보다 크긴하네요~
jang*******,만족도 : 100%,무겁고 오래된 청소기 사용하다가 코드제로 사용해보니 가볍고 흡입력이 좋아 청소시간이 줄어서 만족스럽습니다. 특히 한번에 머리카락 잘 빨아들여서 좋아요
lj42*,만족도 : 100%,사용감이 아주 좋아요..잘쓰겠습니다.
