reviewer,rating,content
baor*****,만족도 : 100%,흡입력이제일 좋은 제품을 찾다 보니 이 제품 이었네요. 사용해보니 역시 흡입력이 좋네요. 소음도 그렇게 크지 않구요. 다만 침구청소기는 uv살균 기능이 있으면 더 좋겠단 생각했어요.
jang*******,만족도 : 100%,무겁고 오래된 청소기 사용하다가 코드제로 사용해보니 가볍고 흡입력이 좋아 청소시간이 줄어서 만족스럽습니다. 특히 한번에 머리카락 잘 빨아들여서 좋아요
lj42*,만족도 : 100%,사용감이 아주 좋아요..잘쓰겠습니다.
chao*****,만족도 : 100%,역시 믿고쓰는 브랜드입니다 자주이용하는데 앞으로도 더 자주 이용할것같아요 선물 받은 사람들도 너무너무 좋아 합니다 덕분에 저도 기분이 좋네요
sy52**,만족도 : 100%,"기존에 중국제 저렴한 청소기를 몇년 썼는데, 바닥에 붙은 머리카락같은 이물질은 한번에 잘 흡입을 못해서 불편했습니다. 조금 비싸더라도 성능이 좋은 청소기로 바꾸려고 알아보다가 이번에 삼성 제품이 조건이 괜찮게 나와서 구매해봤네요. 우선, 조립부터 설치까지 굉장히 쉽고 편했습니다. 받자마자 전원을 켜보니 배터리가 30%정도 충전이 돼있어서 바로 테스트 삼아 돌려봤네요. 확실히 예전 청소기에 비해서 흡입력이 좋습니다. 매트에 붙어있는 머리카락 같은것도 기존 청소기라면 여러번 왔다갔다해야 겨우 떨어질건데, 한번에 싹 흡입하네요. 충전부터 먼지 비우기 기능도 구형 청소기 생각하면 완전 신세계다 싶구요. 돈을 좀 주더라도 생활 가전은 최신 버전이 좋긴 좋구나~싶습니다."
giha**,만족도 : 100%,"샤오미 한 1년 잘사용하다 어느날 집을 찾지 못하고, 중국내수용이라 수리도 안되고 자가수리해도 부품수급이 안되고... 열받아서 확 찔렸네요 의자 구석구석 잘들어가고 잘나오네요 중국것 하고 넘 차이가 나네요 사오미는 걸레사이에 벌어진 틈을 항상 남기는데 삼성은 벌어진 걸레를 한번 더 닦아주는 것이 엄청난 차이라 여겨집니다 언젠가는 고장은 나게됩니다 이때 수리여부 즉. 즉각 사용할 수 있는냐하는건데, 삼성을 믿네요 돈 날리지 마시고, 결국 AS되는 제품을 사야합니다 잘 쓸게요"
니아루,만족도 : 100%,지인의 추천으로 알게됬는데 가장 마음에들었던건 자동비워주는기능과 높은배터리용량 그리고 스팀물걸레기능 그리고 다양한소품들을줘서 구매하게됬습니다. 배송도 빠르고 써보니 더 마음에듭니다~
떵혁마미,만족도 : 100%,무선청소기 사용하다보니 유선청소기의 흡입력이 간절하여 구매했어요.역시 유선청소기의 흡입력이 짱이네요.잘쓸게요.작동시 소리가 전에 쓰던거보다 크긴하네요~
비지니노,만족도 : 100%,생각보다 성능이 좋습니다.아직 물걸레 는 사용안해봤지만 청소기 상태는 다이슨과 비교해도 손색없을정도입니다. 핸들링하기 쉽고 3년만 잘 사용해도 좋을것 같습니다
jij7***,만족도 : 100%,"구매후 배송 가능일을 확인 했네요. ㅠㅠ 주문후 2주 이상 소요되어서 그 점이 아쉽지만 성능은 좋아 보입니다. 조립하는데 30분 정도 걸렸지만, 구성품도 빠짐없이 배송되었구요. 거치대도 있어서 만족 합니다. 거치대는 조립 설명이 없어서 시간이 더 걸렸지만 만족합니다. 무게감은 조금 있구요. 흡인력은 좋네요. 구성품과 가성비등 좋네요."
마른치와와,만족도 : 100%,집에 캐치웰 청소기만 로봇청소기1대 무선청소기2대를 쓰는데 성능 및 가성비 그리고 소모품 등 손쉽게 구입할 수 있어서 항상 믿고 씁니다. 이번에 할머니댁에 보내 드리려 오랜만에 하나 더 구입했는데 이전 것보다 좀더 업그레이드 되어 led화면이 직관적으로 나오고 터치도 되어 더욱 좋습니다. 또한 행사가로 저렴하게 구입할 수 있어 더욱 좋았습니다. 항상 믿고 쓰는 캐치웰 굿 :-)
tn66**,만족도 : 100%,잘 설치했습니다 너무 좋네요 생각보다 작고 예쁩니다 청소는 더 돌려봐야할것같은데 만족합니다
juic****,만족도 : 100%,아직도 망설이는 분들 계신다면 그냥 사세요!! 직배수에 최고사양 모델 물론 훨씬 더 좋겠죠 10년도 더 넘은 엘* 로보킹 쓰던 저희집에서는 이정도만 되어도 만족도가 최상입니다 요거 편하게 사용하다가 다음번에 직배수+최신사양으로 갈아탈려구요 *소음은 조금 있는편이나 거슬릴정도는 아닙니다
pokg****,만족도 : 100%,삼성에서 직접 배송해주고 빨리 왔습니다. 제품의 마감이 다이슨에 비해서 좋다고는 할수 없습니다만 가볍고 사용하기 편리합니다. 사실상 as 문제때문에 삼성제품을 선택했어요. 그동안 다이슨 제품 3개를 15년 이상 사용했는데 as 때문에 큰 실망을해서 이번엔 국산 브랜드로 바꿨어요
대한민국대표,만족도 : 100%,"좋은 상품 착한 가격에 잘샀습니다 배송도 괜찮고, 상자도 터진 것 없이 잘 도착했습니다. 청소기 성능도 기존 사용하던 청소기 대비 흡입력도 좋고 핸들링도 부드러워요 밧데리도 오래가서 더 좋네요"
baor*****,만족도 : 100%,흡입력이제일 좋은 제품을 찾다 보니 이 제품 이었네요. 사용해보니 역시 흡입력이 좋네요. 소음도 그렇게 크지 않구요. 다만 침구청소기는 uv살균 기능이 있으면 더 좋겠단 생각했어요.
jang*******,만족도 : 100%,무겁고 오래된 청소기 사용하다가 코드제로 사용해보니 가볍고 흡입력이 좋아 청소시간이 줄어서 만족스럽습니다. 특히 한번에 머리카락 잘 빨아들여서 좋아요
lj42*,만족도 : 100%,사용감이 아주 좋아요..잘쓰겠습니다.
