reviewer,rating,content
dwiz*************,만족도 : 100%,"부모님댁의 오래된 청소기를 바꿔드리려 구매했습니다 버튼 한번 눌러서 편하게 작동되어야 하고 기본기능에 충실하고 소음이 적은 제품을 찾아보다가 수년간 의지하고 있는 로봇청소기 로보락에도 무선청소기가 있다는것을 이번에 알게 됐네요 후보군의 여러 모델들의 가격, 성능, 리뷰등을 꼼꼼히 보고 선택했습니다 부모님 드리기전에 테스트겸 몇번 사용해봤는데 녹색라이트 쨍해서 좋구요 모터 및 롤러소음이 적당하고 좋네요 요즘 나오는 제품들대비 흡입력은 낮은편이지만 일반가정집 바닥청소에 전혀 부족함이 없네요 저는 괜찮았으나 먼지통 비우는게 70대 노부모께는 아주 약간 번거롭?게 느껴질까 걱정이 좀 되긴 합니다."
lj42*,만족도 : 100%,사용감이 아주 좋아요..잘쓰겠습니다.
juic****,만족도 : 100%,아직도 망설이는 분들 계신다면 그냥 사세요!! 직배수에 최고사양 모델 물론 훨씬 더 좋겠죠 10년도 더 넘은 엘* 로보킹 쓰던 저희집에서는 이정도만 되어도 만족도가 최상입니다 요거 편하게 사용하다가 다음번에 직배수+최신사양으로 갈아탈려구요 *소음은 조금 있는편이나 거슬릴정도는 아닙니다
chao*****,만족도 : 100%,역시 믿고쓰는 브랜드입니다 자주이용하는데 앞으로도 더 자주 이용할것같아요 선물 받은 사람들도 너무너무 좋아 합니다 덕분에 저도 기분이 좋네요
지니지니2022,만족도 : 100%,"맞벌이다보니 제가 바쁘고 청소하기 힘들어서 구입했어요. 반신반의하며 시켰는데걸레를 따로 빨지 않아도 자동으로 세척·건조까지 해줘서 정말 편해요. 청소 돌려놓고 외출했다 오면 바닥이 깔끔해져 있어서 만족스럽고, 물걸레도 회전하면서 닦아줘서 생각보다 깨끗하게 관리됩니다. 머리카락이나 먼지도 잘 빨아들여서 청소기 돌리는 횟수가 확실히 줄었어요. 무엇보다 먼지통 비움이나 물걸레 관리까지 자동이라 손이 거의 안 가는 게 가장 큰 장점입니다. 다만 찌든 때는 완벽하게 제거되지는 않아서 가끔은 손걸레가 필요하고, 구석이나 문턱 부분은 살짝 아쉬운 부분이 있어요. 도크가 커서 자리 차지는 있지만 그만큼 기능이 많다고 생각하면 납득됩니다. 전반적으로 청소를 아주 완벽하게 해준다기보다 집안일 부담을 크게 줄여주는 제품이라 만족도가 높고, 이정도 가격에 사양 좋다고 생각합니다. 바쁜 일상에서 시간을 아껴주는 점이 가장 마음에 들어요. 처음 설치가 잘 되지않아 로보락 기술센터 상담했었는데 기사분 매우친절합니다. 덕분에 맵설정 잘해서 잘쓰게 되었습니다."
anij*******,만족도 : 100%,로보청소기는 첨 사용해 봅니다. 소음은 적당히 나고 나름 구석 구석 청소 하네요. 처음 3~5일 정도 청소후 돌아가서 쓰레기 버리고 걸레 세척시 새 제품에서 나는 냄새가 나요. 며칠 지나니 없어 졌어요. 라이브때 구입해서 가격도 좋습니다.
giha**,만족도 : 100%,"샤오미 한 1년 잘사용하다 어느날 집을 찾지 못하고, 중국내수용이라 수리도 안되고 자가수리해도 부품수급이 안되고... 열받아서 확 찔렸네요 의자 구석구석 잘들어가고 잘나오네요 중국것 하고 넘 차이가 나네요 사오미는 걸레사이에 벌어진 틈을 항상 남기는데 삼성은 벌어진 걸레를 한번 더 닦아주는 것이 엄청난 차이라 여겨집니다 언젠가는 고장은 나게됩니다 이때 수리여부 즉. 즉각 사용할 수 있는냐하는건데, 삼성을 믿네요 돈 날리지 마시고, 결국 AS되는 제품을 사야합니다 잘 쓸게요"
omje****,만족도 : 100%,노비타 H710 모델 사용해보니 세정 수압이 안정적이고 온열 기능도 빠르게 올라와 만족스럽습니다. 리모컨 조작이 간편해 사용하기 편하고 전반적으로 기본기 탄탄한 비데라 가성비 좋게 느껴집니다.
jang*******,만족도 : 100%,무겁고 오래된 청소기 사용하다가 코드제로 사용해보니 가볍고 흡입력이 좋아 청소시간이 줄어서 만족스럽습니다. 특히 한번에 머리카락 잘 빨아들여서 좋아요
노랑달팽이,만족도 : 100%,이번이 두번째 구매했어요 작동이상없구요. 리모컨이 있어 편안해요
stop****,만족도 : 100%,시골 엄마 집에 설치했는데 아주 좋아요. 깔끔하고 세련되고 기능이 우수합니다. 가격도 저렴하고 상품이 마음에 들어요.
gold**,만족도 : 100%,[세정액 증.정] 드리미 L10s heat 로봇청소기 7000 Pa 흡입력 온수세척 열풍건조 냄새탈취 자동세척 잘받았습니다
seow*****,만족도 : 100%,"반려견을 키우고 있어서 매일 털 날림과 바닥 발자국 때문에 스트레스가 심했는데, X8 프로 옴니 들이고 나서 삶의 질이 달라졌습니다. 털 엉킴 방지: 강아지 털이 브러시에 엉키지 않고 싹 흡입되니까 관리가 너무 편해요. 완벽한 바닥 청결: 물걸레 기능이 기대 이상이라 강아지 침 자국이나 발자국이 말끔히 사라집니다. 맨발로 다닐 때 뽀득뽀득한 느낌이 정말 좋아요. 자동화 시스템: 먼지 비움부터 걸레 세척, 건조까지 알아서 해주니 제가 손댈 게 없어서 정말 청결하게 유지됩니다. 아쉬운 점 스테이션에서 먼지 비울 때 소음이 조금 커서 저희 강아지가 가끔 놀라긴 해요. 가끔 바닥에 떨어진 아주 작은 강아지 장난감은 인식 못 하고 밀고 갈 때가 있으니 미리 치워두는 게 좋습니다. 반려동물 키우는 집이라면 정말 필수템인 것 같습니다. 청소 시간이 줄어드니 아이랑 놀아줄 시간도 늘어나서 대만족입니다!"
silv*******,만족도 : 100%,좋은데 조금 무거워요. 그리고 길어요. 전용 스탠드가 있어야할 것 같아요 흡입력은 만족하고 소리는 생각보다 그렇게 크진 않은 것 같아요.
